subj_id,StartDate,EndDate,Finished,consent,instexp,only_us,state,gender,citizen,us_born,english,party,conserv,faith,ed_level,cc_inst,us_years,where_born,eng_years,first_lang,instr_pre,evo1_1_pre,gw1_2_pre,nat1_3_pre,dty1_4_pre,aft1_5_pst,cre1_6_pre,gw2_1_pre,gw2_2_pre,gw2_3_pre,gw2_4_pre,evo2_5_pre,evo2_6_pre,engage_pre,aft2_pre,aft3_pre,dty2_pre,dty3_pre,cre2_pre,cre3_pre,nat2_pre,instw_pre,lifsty_pre,natmil_pre_1,instk_pre,k1time_pre_1,k1time_pre_2,k1time_pre_3,k1time_pre_4,pre1_inst,k2time_pre_1,k2time_pre_2,k2time_pre_3,k2time_pre_4,k3time_pre_1,k3time_pre_2,k3time_pre_3,k3time_pre_4,knwgbl_pre,desc_time_1,desc_time_2,desc_time_3,desc_time_4,desc,surprise,lack,new_forg,instlt_pst,lt_in_pst,lt_out_pst,k1time_pst_1,k1time_pst_2,k1time_pst_3,k1time_pst_4,instk_pst,k2time_pst_1,k2time_pst_2,k2time_pst_3,k2time_pst_4,k3time_pst_1,k3time_pst_2,k3time_pst_3,k3time_pst_4,knwgbl_pst,instr_pst,evo1_1_pst,gw1_2_pst,nat1_3_pst,dty1_4_pst,aft1_5_pst.1,cre1_6_pst,gw2_1_pst,gw2_2_pst,gw2_3_pst,gw2_4_pst,evo2_5_pst,evo2_6_pst,engage_pst,aft2_pst,aft3_pst,dty2_pst,dty3_pst,cre2_pst,cre3_pst,nat2_pst,instw_pst,lifsty_pst,natmil_pst_1,instfin,codes_pre,codes_pst
33,2013-03-29 07:14:05,2013-03-29 07:29:37,1,1,1,1,MS,female,1,y,1,democrat,1,jewish,5,1,,,,,1,9,9,3,1,6,1,8,9,6,9,9,9,8,6,1,1,1,1,1,3,1,7,5,1,1.104,96.562,97.036,4,1,1.328,7.434,35.632,2,0.873,43.272,57.104,3,6,7.276,7.276,83.621,1,1,1,1,3,1,visible,infrared ,1.283,38.122,119.177,4,1,0.844,0.844,30.121,1,0.703,24.263,39.379,3,6,1,9,9,3,1,6,1,8,9,8,9,9,9,8,6,1,1,1,1,1,2,1,7,5,1,"MCCS1, SGHG3, MCCE2, DGHG2, DGHG3, DNK1","MCCE1, MCCS1, DD1, DGHG1, DGHG3"
9,2013-03-29 07:19:57,2013-03-29 07:36:44,1,1,1,1,CA,female,1,y,1,democrat,4,agnostic,3,1,,,,,1,7,9,5,2,3,2,4,9,9,9,8,8,4,2,7,2,1,4,2,3,1,3,3,1,9.282,9.282,81.08,1,1,12.969,94.732,128.069,3,15.023,15.023,69.609,1,2,0,0,88.57,0,1,3,2,5,1,sun light,relfected light,6.929,6.929,61.493,1,1,9.086,9.086,53.592,1,4.739,4.739,26.396,1,3,1,6,9,5,3,3,1,7,9,9,9,7,9,3,2,7,3,1,4,2,2,1,3,3,1,"MCCS1, MCCS2, DGHG2","MCCS1, MCCS2, ,DGHG2, DGHG3"
23,2013-03-29 07:24:40,2013-03-29 07:38:17,1,1,1,1,MI,male,1,y,1,democrat,4,atheist,5,1,,,,,1,9,7,7,1,1,1,5,7,2,4,9,9,6,1,1,9,1,1,1,7,1,3,0,1,1.49,1.49,65.048,1,1,5.582,68.374,70.861,15,4.497,6.126,47.832,3,6,1.727,24.776,25.667,3,1,2,3,6,1,visible,infrared,2.335,91.099,94.116,15,1,4.073,9.651,15.885,9,1.276,2.084,35.848,2,7,1,9,8,8,1,1,1,8,8,3,5,9,9,7,1,1,1,1,1,1,7,1,2,0,1,"DGHG3, DGHG4, MCCE2, DD2","DGHG3, DGHG2, DNK2, DD1, DGHG1, MCCE2"
37,2013-03-29 07:16:02,2013-03-29 07:38:46,1,1,1,1,TX,male,1,y,1,republican,8,christian,6,1,,,,,1,6,3,2,9,9,9,3,7,3,6,4,7,7,9,9,9,9,9,5,2,1,6,0,1,1.499,1.499,147.661,1,1,6.368,103.512,109.058,2,7.306,7.306,60.986,1,5,0,0,162.69,0,1,4,6,6,1,visible,infrared,4.599,4.599,119.614,1,1,1.92,1.92,29.696,1,1.283,1.283,64.624,1,7,1,6,3,2,9,9,7,3,7,3,7,6,7,7,9,9,9,9,9,5,2,1,6,0,1,"MCCE2, DGHG3, DGHG2, DD2","DD1, DGHG3, DGHG2, MCCE2"
13,2013-03-29 07:16:26,2013-03-29 07:39:33,1,1,1,1,ME,male,1,y,1,democrat,3,christian,5,1,,,,,1,6,6,4,5,2,1,5,6,6,7,4,7,6,5,4,5,2,5,2,6,1,7,2,1,4.14,282.311,306.501,3,1,13.717,13.717,114.188,1,9.006,9.006,96.766,1,6,0,0,87.969,0,1,2,3,7,1,ultraviolet,infrared,5.63,131.458,146.963,6,1,9.844,9.844,61.199,1,1.135,21.4,22.189,2,6,1,6,6,4,5,5,2,6,6,6,6,4,6,6,5,4,5,2,5,2,6,1,7,2,1,"MCCE2, DD3, DGHG3, MCCS1","MCCE1, MCCS1, DD2"
5,2013-03-29 07:25:44,2013-03-29 07:44:22,1,1,1,1,TX,female,1,y,1,democrat,3,christian,4,1,,,,,1,4,6,6,9,9,9,3,5,1,9,6,7,8,8,9,9,1,9,9,2,1,6,5,1,7.975,22.996,26.918,2,1,13.357,13.357,62.779,1,7.06,7.06,50.07,1,1,0,0,152.964,0,1,5,7,3,1,warm,warm,7.2,7.714,71.328,2,1,0.875,43.587,46.012,2,3.785,3.785,29.26,1,4,1,3,8,6,9,9,7,6,7,6,9,5,7,8,8,9,9,1,9,9,4,1,7,9,1,"DNK1, DGHG4, MCCQ1","MCCE3, DD2, DGHG3, DGHG4"
7,2013-03-29 07:23:26,2013-03-29 07:45:22,1,1,1,1,CA,female,1,y,1,democrat,3,agnostic,6,1,,,,,1,3,9,5,5,3,2,7,9,9,7,6,8,8,3,3,5,3,2,2,5,1,7,2,1,12.251,50.481,68.758,2,1,8.149,99.033,134.555,3,152.744,291.332,299.697,3,4,0,0,51.562,0,1,3,5,5,1,visable,lower-energy infrared wavelength ,6.428,6.428,15.29,1,1,2.483,2.483,13.497,1,1.824,1.824,11.582,1,5,1,2,8,5,3,3,3,7,8,8,8,7,8,7,3,3,4,3,5,3,3,1,7,2,1,"DGHG3, DGHG4, DD3, MCCS1",DNK2
24,2013-03-29 08:09:53,2013-03-29 08:25:52,1,1,1,1,TX,male,1,y,1,independent,5,agnostic,6,1,,,,,1,9,9,9,5,5,1,4,5,7,9,9,9,7,5,5,5,5,5,1,3,1,7,0,1,1.575,1.575,121.089,1,1,1.157,1.157,87.044,1,2,2,94.499,1,5,29.369,69.382,71.574,8,1,1,1,8,1,visible,infrared,2.517,48.132,53.573,10,1,1.165,1.165,90.387,1,1.346,1.346,75.987,1,5,1,9,9,9,5,5,1,4,8,8,9,9,9,7,5,5,5,5,5,1,3,1,7,0,1,"MCCE2, DD3, DGHG3, DGHG2","DD1, MCCE3, DGHG3"
29,2013-03-29 08:08:58,2013-03-29 08:35:11,1,1,1,1,DC,male,1,y,1,democrat,3,jewish,5,1,,,,,1,8,9,7,2,2,1,8,9,8,6,9,9,8,2,2,2,1,3,1,3,1,7,0,1,1.023,1.023,88.072,1,1,2.03,36.845,82.574,3,0.91,0.91,35.423,1,5,82.156,83.764,153.404,2,1,3,2,7,1,visible,infrared,1.146,5.291,47.484,2,1,1.077,1.077,30.598,1,0.789,24.442,24.827,3,7,1,8,8,6,2,1,1,8,9,8,6,9,9,7,2,1,3,1,2,1,6,1,7,0,1,"MCCS1, DGHG2, DGHG3","DGHG3, DGHG2, DD1, MCCE1"
0,2013-03-29 08:30:37,2013-03-29 08:53:11,1,1,1,1,FL,female,1,n,1,republican,7,christian,3,1,26,South Africa,,,1,3,7,9,9,9,8,5,7,7,7,5,3,5,9,9,9,8,9,8,5,1,5,5,1,8.403,45.379,64.563,2,1,7.928,7.928,71.738,1,6.494,57.466,66.166,2,2,0,0,114.321,0,1,7,9,2,1,visible,lower energy,5.087,5.087,135.34,1,1,13.756,88.87,91.909,3,3.698,3.698,84.392,1,5,1,3,8,9,9,9,8,6,8,7,8,3,4,7,9,9,9,8,9,8,4,1,7,5,1,"MCCS1, MCCS4, DNK2, DGHG4","DD1, SGHG1, MCCE1, MCCS1, DGHG3"
