,StartDate.study,EndDate.study,k1time_pre_1,k1time_pre_2,k1time_pre_3,k1time_pre_4,k2time_pre_1,k2time_pre_2,k2time_pre_3,k2time_pre_4,k3time_pre_1,k3time_pre_2,k3time_pre_3,k3time_pre_4,knwgbl_pre,desc_time_1,desc_time_2,desc_time_3,desc_time_4,desc,surprise,surprise.1,new_forg,lt_in_pst,lt_out_pst,k1time_pst_1,k1time_pst_2,k1time_pst_3,k1time_pst_4,k2time_pst_1,k2time_pst_2,k2time_pst_3,k2time_pst_4,k3time_pst_1,k3time_pst_2,k3time_pst_3,k3time_pst_4,knwgbl_pst,evo1_1_pst,gw1_2_pst,nat1_3_pst,dty1_4_pst,aft1_5_pst,cre1_6_pst,gw2_1_pst,gw2_2_pst,gw2_3_pst,gw2_4_pst,evo2_5_pst,evo2_6_pst,engage_pst,aft2_pst,aft3_pst,dty2_pst,dty3_pst,cre2_pst,cre3_pst,nat2_pst,lifsty_pst,natmil_pst_1,gender,citizen,us_born,english,party,conservati,faith,us_years,born,eng_years,first_lang,StartDate.test,EndDate.test,lt_in_fol,lt_out_fol,k1time_fol_1,k1time_fol_2,k1time_fol_3,k1time_fol_4,k2time_fol_1,k2time_fol_2,k2time_fol_3,k2time_fol_4,k3time_fol_1,k3time_fol_2,k3time_fol_3,k3time_fol_4,knwgbl_fol,evo1_1_fol,gw1_2_fol,nat1_3_fol,dty1_4_fol,aft1_5_fol,cre1_6_fol,gw2_1_fol,gw2_2_fol,gw2_3_fol,gw2_4_fol,evo2_5_fol,evo2_6_fol,engage_fol,aft2_fol,aft3_fol,dty2_fol,dty3_fol,cre2_fol,cre3_fol,nat2_fol,lifsty_fol,natmil_fol_1,Q102,did.pre,study.test.delay,codes.1_pre,coder.1_pre,codes.2_pre,coder.2_pre,codes.1_pst,coder.1_pst,codes.2_pst,coder.2_pst,codes.1_fol,coder.1_fol,codes.2_fol,coder.2_fol
11,6/12/12 11:55,6/12/12 12:19,1.249,155.497,202.402,3,24.259,161.55,213.664,2,1.038,1.038,77.09,1,8,184.931,184.931,186.177,1,1,1,1,9,visible,infrared,0.952,99.332,101.066,6,0.962,74.236,85.689,5,0.809,0.809,38.918,1,9,7,6,8,7,7,5,4,8,8,7,7,9,7,7,9,8,5,5,3,4,5,3,male,n,n,n,democrat,5,catholic,9,Philippines,19,Tagalog/English,6/18/12 0:44,6/18/12 1:53,visibile,infrared,1.017,1.017,109.696,1,1.22,1.22,102.731,1,1.211,1.211,52.776,1,9,7,4,7,7,7,5,3,7,7,7,7,7,7,7,7,5,5,5,5,7,7,NA,2,TRUE,5.534027778,"DGHG1, DD2, MCCE2, MCCS1, MCCS2",Coder4,"MCCS1, MCCS2, DD2, DGHG3, DGHG1, MCCE2",Coder1,"DD1, DGHG1, DGHG3, MCCE1",Coder4,"DD1, MCCE1, DGHG1, DGHG3",Coder1,"DD2, DGHG1, DGHG3, MCCE2",Coder4,"MCCE1, DD2, DGHG3, DGHG1",Coder1
12,6/12/12 12:27,6/12/12 12:49,4.007,4.007,91.039,1,38.074,38.074,69.765,1,9.983,9.983,46.659,1,3,0,0,287.636,0,1,3,5,5,UV,infared,4.627,4.627,63.267,1,16.608,16.608,41.967,1,11.934,49.278,59.075,5,4,7,7,3,2,6,1,8,6,5,6,8,9,6,6,4,3,3,2,1,4,6,21,female,y,y,y,democrat,2,buddhist,NA,,NA,,6/17/12 15:57,6/17/12 16:11,UV,infared,14.363,243.486,253.194,5,6.578,11.336,246.393,2,1.908,1.908,14.86,1,3,7,7,3,2,6,1,7,5,6,6,8,9,6,6,4,3,1,8,1,3,6,21,2,TRUE,5.145833333,,Coder2,,Coder4,"MCCS1, MCCE3, DD3, DGHG2",Coder2,,Coder4,"DD2, DGHG3",Coder2,"DGHG3, DGHG2",Coder3
13,6/12/12 12:53,6/12/12 13:08,1.64,1.64,113.031,1,3.111,3.111,83.519,1,5.807,5.807,104.699,1,4,0,0,40.678,0,1,7,7,7,visible,infrared,4.586,4.586,82.277,1,11.922,11.922,16.108,1,1.415,2.14,6.043,2,6,4,6,9,8,8,3,6,8,6,7,7,5,6,8,8,9,9,9,5,3,4,5,male,y,y,y,libertarian,7,protestant / other christian,NA,,NA,,6/17/12 16:39,6/17/12 16:45,visible,infrared,5.2,5.2,60.511,1,4.624,4.624,136.237,1,2.142,2.142,30.605,1,6,6,6,7,8,8,4,6,7,4,4,4,4,5,8,9,8,8,8,7,6,4,6,2,FALSE,5.156944444,"DD2, DGHG2, DGHG3, MCCE2, MCCS1",Coder4,"DGHG2, MCCE2, MCCS1, DD2, DGHG3",Coder1,"DD3, DGHG1, MCCE2, DNK2",Coder4,"DGHG1, MCCE2, DD3, DNK2",Coder1,"MCCE2, DD1, DGHG1, DGHG3",Coder5,"MCCE2, DD1, DGHG1",Coder2
14,6/12/12 13:19,6/12/12 13:38,2.36,173.119,178.208,4,1.406,22.108,144.77,6,23.555,23.555,49.925,1,6,0,0,61.206,0,1,5,5,5,ultraviolet,infrared,5.065,9.881,134.942,2,3.366,3.366,63.366,1,3.365,53.306,54.311,4,6,8,8,9,7,7,3,7,7,6,6,8,5,7,7,7,5,4,7,3,7,7,0,female,y,y,y,democrat,3,hindu,NA,,NA,,6/17/12 21:20,6/17/12 21:37,ultraviolet,infrared,0.94,0.94,223.227,1,4.122,4.122,35.983,1,2.871,2.871,141.593,1,7,8,7,9,7,7,3,7,7,7,7,7,8,7,7,7,6,5,7,2,9,7,0,2,FALSE,5.334027778,"SGHG1, MCCS1, MCCE3, DD1, DGHG1",Coder2,,Coder4,,Coder2,,Coder4,"SGHG1, MCCE2, DD1, DGHG1",Coder2,,Coder4
15,6/12/12 13:50,6/12/12 14:18,3.115,106.063,141.979,4,1.748,1.748,81.484,1,3.893,96.985,113.46,5,4,0,0,178.776,0,1,2,2,8,infrared,infrared,3.228,121.422,142.21,4,1.595,47.717,51.632,4,1.46,76.409,82.26,5,2,5,6,6,6,5,5,5,6,7,7,6,7,6,3,5,4,3,4,3,3,6,3,male,y,n,y,none,2,hindu,3,India,NA,,6/18/12 13:13,6/18/12 13:25,Ultra Violet,reflected,1.592,72.076,73.948,2,0.981,21.418,81.338,6,1.184,91.546,96.73,6,4,5,4,5,4,3,3,5,6,6,7,4,7,6,3,4,4,3,6,6,5,6,3,1,FALSE,5.974305556,"DGHG4, DD2, MCCQ2",Coder3,"MCCQ2, DD2, DGHG4",Coder1,"DGHG3, DGHG1, DD3, MCCE3, DGHG2",Coder3,"MCCE3, DD3, DGHG1, DGHG3",Coder5,"DGHG3, DGHG1, DD3, MCCE2",Coder3,"MCCE2, DD3, DGHG3, DGHG1",Coder1
16,6/12/12 14:10,6/12/12 14:40,2.303,214.868,218.621,8,18.725,18.725,101.726,1,16.819,157.716,169.53,4,2,0,0,186.125,0,1,2,1,3,visible,infrared,4.37,300.483,312.446,17,20.432,20.432,24.644,1,8.722,8.722,36.396,1,4,8,7,5,5,5,1,7,7,6,7,7,7,6,3,1,2,1,5,3,3,3,10,female,y,n,n,none,2,agnostic,10,Ukraine,10,Russian,6/17/12 15:15,6/17/12 15:26,visible,infrared,1.68,187.943,230.409,4,16.351,16.351,41.819,1,10.259,10.259,26.388,1,4,7,7,3,2,3,2,6,6,6,7,7,8,6,3,2,3,1,6,2,3,3,10,2,TRUE,5.045138889,"MCCS1, MCCS3, MCCE2, SGHG3, DD2, DGHG2",Coder5,"MCCS1, MCCS3, MCCE2, SGHG3, DD2, DGHG2",Coder2,"DD1, DGHG1, DGHG3, MCCE1, MCCS1, DNK2",Coder4,"DD1, DGHG1, MCCS1, MCCE1, DNK2",Coder1,"DD2, DGHG1, DGHG3, MCCE1, MCCS1, DNK2",Coder4,"DD2, DGHG1, DGHG3, MCCS1, MCCE1, DNK2",Coder1
17,6/12/12 14:18,6/12/12 14:43,1.761,1.761,125.827,1,20.032,20.032,44.712,1,8.835,8.835,43.555,1,3,384.294,385.365,401.91,2,1,4,7,4,visible,infrared,5.325,58.228,140.531,6,3.336,3.336,33.601,1,2.343,2.343,26.68,1,5,8,8,2,9,9,2,9,8,7,8,9,8,4,6,9,9,9,9,1,1,5,20,female,y,y,y,republican,5,protestant / other christian,NA,,NA,,6/18/12 0:15,6/18/12 0:22,visible,infrared,4.695,66.261,138.606,7,4.437,4.437,38.238,1,2.037,2.037,12.674,1,4,8,7,1,9,9,2,7,7,7,8,7,9,7,7,9,9,9,9,7,2,6,9,2,TRUE,5.414583333,"MCCS1, DNK1, DGHG3",Coder1,"MCCS1, DNK1, DGHG3",Coder2,"DGHG1, DD1, DGHG3, MCCE1, MCCS1",Coder1,"DD1, MCCE1, MCCS1, DGHG1",Coder2,"DD1, DGHG1, MCCS1, MCCE1, DGHG3",Coder1,"DD1, DGHG1, MCCS1, MCCE1, DGHG3",Coder2
18,6/12/12 14:31,6/12/12 15:18,1.752,143.187,161.367,5,48.381,48.381,201.778,1,7.851,119.809,121.06,4,5,19.261,44.441,49.836,2,1,5,4,8,high-energy,low-energy,28.711,167.141,245.43,4,7.676,7.676,66.495,1,10.657,10.657,115.561,1,7,7,7,7,5,5,4,6,7,6,6,5,7,7,5,5,3,3,6,3,4,6,2,female,n,n,n,none,5,atheist,1,China,7,Chinese,6/18/12 14:32,6/18/12 14:46,high-energy,low-energy,5.278,248.681,257.408,8,65.569,148.338,153.217,2,42.157,119.358,122.834,2,6,7,7,5,5,5,3,4,7,6,6,7,7,7,5,5,4,3,5,3,5,5,2,2,FALSE,6.000694444,"MCCS1, DD2, DGHG2",Coder2,,Coder4,"MCCE3, DD1, DGHG2",Coder2,"DGHG2, DD1, MCCE3",Coder3,"DD1, MCCE3, DGHG2",Coder2,"DGHG2, DD1, MCCE3",Coder3
19,6/12/12 15:05,6/12/12 15:28,6.794,6.794,82.345,1,10.479,10.479,75.419,1,3.872,3.872,58.341,1,4,42.409,260.814,263.352,3,1,6,7,5,visible,infrared,6.451,6.451,50.317,1,3.129,3.129,43.963,1,0.91,0.91,28.081,1,6,7,6,5,5,7,3,6,8,7,6,7,7,7,7,7,5,3,5,3,3,7,7,female,y,y,y,democrat,2,other,NA,,NA,,6/18/12 12:23,6/18/12 12:31,visible,infrared,7.093,106.299,180.366,2,4.178,4.178,34.611,1,2.168,2.168,53.711,1,5,7,6,5,5,7,5,5,7,7,6,6,7,7,7,6,5,3,5,5,3,6,5,2,FALSE,5.8875,"MCCE3, DGHG3, DD3, DGHG4",Coder1,"DGHG3, DGHG4, DD3, MCCE3",Coder3,"MCCE3, DGHG3, SGHG1",Coder1,"DGHG3, DD2, MCCE3, SGHG1",Coder3,"MCCE3, DD3, DGHG3, DGHG2, MCCS1",Coder1,"MCCE3, DD3, DGHG2, MCCS1",Coder2
20,6/12/12 15:30,6/12/12 15:48,30.193,30.193,106.17,1,30.216,131.658,133.628,2,64.081,64.081,124.86,1,5,0,0,36.451,0,1,6,6,5,Sun,Artificial,21.66,21.66,65.827,1,31.618,31.618,65.189,1,9.175,9.175,60.57,1,6,4,7,7,9,4,8,4,8,8,8,6,5,7,7,9,9,9,6,5,7,6,23,male,n,n,n,none,8,other,1,Hong kong,5,Chinese,6/17/12 21:39,6/17/12 21:49,sun,heat,11.51,117.706,118.804,8,16.219,194.789,202.075,7,4.563,18.545,49.721,2,5,3,9,7,9,5,3,6,9,9,9,6,4,3,3,9,9,9,9,3,7,8,6,2,FALSE,5.25625,"MCCS1, DD3, DGHG2",Coder2,"DGHG3, DGHG2, MCCS1",Coder3,"MCCS1, DD2, MCCE3, DGHG4",Coder2,"DGHG3, DD2, MCCS1",Coder3,"DD3, DGHG3",Coder2,"DGHG3, DD2",Coder3
21,6/12/12 15:55,6/12/12 16:10,1.617,74.821,99.805,3,0.963,2.362,34.772,2,1.249,1.249,21.114,1,2,0,0,142.885,0,1,3,8,2,Forgot,Infrared,0.914,43.503,76.871,4,1.698,1.698,30.898,1,1.095,33.797,38.151,3,3,7,7,3,5,5,3,6,6,7,7,7,8,6,7,5,5,2,4,3,3,3,5,female,y,y,y,democrat,3,agnostic,NA,,NA,,6/18/12 0:33,6/18/12 0:40,heat,radioactive?,0.992,0.992,92.804,1,1.559,38.517,38.878,4,0.928,60.997,65.342,2,2,7,6,3,5,6,3,6,6,7,7,7,7,7,7,5,5,2,4,3,5,5,8,2,TRUE,5.359722222,"MCCS1, DGHG3, DGHG2, DNK1",Coder1,"DGHG3, DGHG2, DNK1, MCCS1, MCCE2",Coder3,"DD1, DGHG2, MCCE3",Coder1,"DGHG3, DGHG2, DD1, MCCE3",Coder3,"DGHG2, DD2, MCCE2, DGHG3",Coder1,"DD2, MCCE2, DGHG2",Coder2
22,6/12/12 16:00,6/12/12 16:17,2.119,135.865,163.678,2,3.884,111.76,116.788,12,3.371,33.339,39.602,4,7,28.452,28.452,32.226,1,1,1,1,9,infrared rays,radiation,1.543,123.43,151.507,2,11.735,20.951,40.881,2,1.489,1.489,24.212,1,7,9,7,1,7,4,1,4,7,6,7,9,9,6,6,3,1,1,1,1,2,5,2,female,n,n,y,none,3,atheist,1,SG,NA,,6/17/12 15:38,6/17/12 15:47,Infrared radiation,Infrared radiation,1.271,9.669,123.828,34,35.743,35.743,76.017,1,1.691,1.87,17.694,3,6,9,7,6,6,6,1,4,7,4,6,9,9,6,7,6,1,3,4,1,2,4,2,2,TRUE,4.984722222,"DGHG3, DGHG2, MCCS1, DD2",Coder3,"MCCS1, DGHG2, DD2, DGHG3",Coder1,"DGHG3, DD3, MCCS1, MCCE3, DGHG2",Coder3,"MCCS1, MCCE3, DD3, DGHG2, DGHG3",Coder5,"DGHG3, DGHG2, DD2, MCCE3",Coder3,"MCCE3, DGHG2, DD2, DGHG3",Coder1
23,6/12/12 16:08,6/12/12 16:36,4.486,135.155,229.379,9,2.278,3.323,75.789,2,1.185,28.724,80.172,2,3,154.074,191.42,207.765,7,1,1,2,7,visible,infrared,4.413,198.235,199.708,7,9.608,9.608,78.886,1,1.573,33.529,34.613,2,7,8,8,7,5,2,1,9,8,4,6,9,6,7,2,2,4,2,2,1,5,8,0,female,y,y,y,democrat,4,agnostic,NA,,NA,,6/17/12 16:56,6/17/12 17:11,visible,infrared,1.306,186.166,317.893,9,1.39,113.513,114.116,2,2.372,36.229,102.513,9,5,8,8,6,1,3,1,9,8,6,7,8,8,8,1,1,4,1,2,1,3,7,1,1,TRUE,5.033333333,"DGHG3, DGHG2, DNK2, MCCS1, SGHG1",Coder3,"MCCS1, SGHG1, DNK2, DGHG3, DGHG2",Coder1,"DGHG3, DGHG1, DD1, SGHG3",Coder3,"MCCE1, SGHG3, DD1, DGHG1, DGHG3",Coder5,"DGHG3, DGHG2, DD1, MCCE2",Coder3,"DGHG2, MCCE2, DD1, DGHG3",Coder1
24,6/12/12 16:24,6/12/12 16:50,1.599,189.546,265.455,9,1.115,101.955,133.078,3,1.575,1.575,53.909,1,4,110.833,110.833,120.583,1,1,4,4,5,visible,infrared,9.22,65.771,70.95,2,1.981,1.981,84.995,1,0.977,78.57,85.356,3,6,7,7,4,5,5,3,4,9,7,7,6,7,6,5,5,5,5,5,3,5,5,3,male,n,n,y,none,5,buddhist,1,Singapore,NA,,6/18/12 21:35,6/18/12 21:44,visible,infrared and visible,9.186,18.598,170.11,3,10.535,83.78,87.045,5,1.144,1.144,75.124,1,6,6,5,5,5,5,3,5,9,7,6,6,6,7,5,4,5,5,5,3,5,5,3,2,TRUE,6.215972222,"DD2, DGHG2, DGHG3, MCCE2, MCCQ2",Coder4,"MCCQ2, DD2, DGHG3, DGHG2, MCCE2",Coder1,"MCCQ2, DD1, DGHG1, DGHG3",Coder5,"MCCQ2, DD1, DGHG1",Coder2,"MCCQ2, DD1, DGHG1, DGHG3",Coder5,"MCCQ2, DD1, DGHG1",Coder2
