,survey_number,pre_post,n_s,complete,surprise,light_in,light_out,knowledgeable,evo1_1,gw1_2,nat1_3,deity1_4,after1_5,crea1_6,gw2_1,gw2_2,gw2_3,gw2_4,evo2_5,evo2_6,lifestyle,gender,citizen,us_born,us_years,english,party,conservative,faith,careful,reread,inconvenient_truth,transcription_comments,coder.1,coder.2,codes_1.1.mccs1,codes_1.1.mccs2,codes_1.1.mccs3,codes_1.1.mccs4,codes_1.1.dnk1,codes_1.1.dnk2,codes_1.1.mccq1,codes_1.1.mccq2,codes_1.1.sghg3,codes_1.1.mccr,codes_1.1.dd3,codes_1.1.dghg3,codes_1.1.dghg4,codes_1.1.sghg1,codes_1.1.sghg2,codes_1.1.dd1,codes_1.1.dd2,codes_1.1.dghg1,codes_1.1.dghg2,codes_1.1.mcce1,codes_1.1.mcce2,codes_1.1.mcce3,codes_1.1.mcce4,codes_2.1.mccs1,codes_2.1.mccs2,codes_2.1.mccs3,codes_2.1.mccs4,codes_2.1.dnk1,codes_2.1.dnk2,codes_2.1.mccq1,codes_2.1.mccq2,codes_2.1.sghg3,codes_2.1.mccr,codes_2.1.dd3,codes_2.1.dghg3,codes_2.1.dghg4,codes_2.1.sghg1,codes_2.1.sghg2,codes_2.1.dd1,codes_2.1.dd2,codes_2.1.dghg1,codes_2.1.dghg2,codes_2.1.mcce1,codes_2.1.mcce2,codes_2.1.mcce3,codes_2.1.mcce4,codes_3.1.mccs1,codes_3.1.mccs2,codes_3.1.mccs3,codes_3.1.mccs4,codes_3.1.dnk1,codes_3.1.dnk2,codes_3.1.mccq1,codes_3.1.mccq2,codes_3.1.sghg3,codes_3.1.mccr,codes_3.1.dd3,codes_3.1.dghg3,codes_3.1.dghg4,codes_3.1.sghg1,codes_3.1.sghg2,codes_3.1.dd1,codes_3.1.dd2,codes_3.1.dghg1,codes_3.1.dghg2,codes_3.1.mcce1,codes_3.1.mcce2,codes_3.1.mcce3,codes_3.1.mcce4,codes_1.2.mccs1,codes_1.2.mccs2,codes_1.2.mccs3,codes_1.2.mccs4,codes_1.2.dnk1,codes_1.2.dnk2,codes_1.2.mccq1,codes_1.2.mccq2,codes_1.2.sghg3,codes_1.2.mccr,codes_1.2.dd3,codes_1.2.dghg3,codes_1.2.dghg4,codes_1.2.sghg1,codes_1.2.sghg2,codes_1.2.dd1,codes_1.2.dd2,codes_1.2.dghg1,codes_1.2.dghg2,codes_1.2.mcce1,codes_1.2.mcce2,codes_1.2.mcce3,codes_1.2.mcce4,codes_2.2.mccs1,codes_2.2.mccs2,codes_2.2.mccs3,codes_2.2.mccs4,codes_2.2.dnk1,codes_2.2.dnk2,codes_2.2.mccq1,codes_2.2.mccq2,codes_2.2.sghg3,codes_2.2.mccr,codes_2.2.dd3,codes_2.2.dghg3,codes_2.2.dghg4,codes_2.2.sghg1,codes_2.2.sghg2,codes_2.2.dd1,codes_2.2.dd2,codes_2.2.dghg1,codes_2.2.dghg2,codes_2.2.mcce1,codes_2.2.mcce2,codes_2.2.mcce3,codes_2.2.mcce4,codes_3.2.mccs1,codes_3.2.mccs2,codes_3.2.mccs3,codes_3.2.mccs4,codes_3.2.dnk1,codes_3.2.dnk2,codes_3.2.mccq1,codes_3.2.mccq2,codes_3.2.sghg3,codes_3.2.mccr,codes_3.2.dd3,codes_3.2.dghg3,codes_3.2.dghg4,codes_3.2.sghg1,codes_3.2.sghg2,codes_3.2.dd1,codes_3.2.dd2,codes_3.2.dghg1,codes_3.2.dghg2,codes_3.2.mcce1,codes_3.2.mcce2,codes_3.2.mcce3,codes_3.2.mcce4,ghg,light,energy,total.score
11,f11-16,post,n,y,9,intefrare,intefrare,5,6,7,5,9,9,6,3,7,9,9,5,4,7,f,y,y,NA,n,democrat,8,other,8,5,0,,Coder1,Coder2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,2,5.5
12,f11-17,post,n,y?,4,,,4,6,9,6,9,9,9,7,9,5,7,4,4,5,m,y,y,NA,n,,7,christian,3,3,0,,Coder2,Coder4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2,3.25
13,f11-18,post,s,y,7,visible,infrared,6,7,7,5,7,7,7,3,7,7,7,5,5,6,f,y,y,NA,y,decline,6,other,NA,NA,,,Coder4,Coder3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,6
14,f11-18,pre,s,n,NA,NA,NA,1,6,6,5,7,7,5,3,7,7,7,5,6,6,m,y,y,NA,y,decline,6,other,NA,NA,,,Coder2,Coder4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,f11-2,post,n,y,6,bright,infrared,3,7,9,5,7,7,5,5,9,9,9,5,7,9,f,y,y,NA,y,democrat,7,other,6,4,0,"""sunlight"" and ""visible light"" highlighted, ""very helpfu""l written above. ""earth emits lower energy enfrared wavelengths highlighted."" ""great explanation of greenhouse effect"" written by molecular detail.",Coder2,Coder4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.5,0.5,1.5,3.75
16,f11-20,post,n,y,6,visible,infrared,3,5,7,6,7,7,5,7,6,5,8,5,5,NA,m,y,y,NA,y,democrat,3,christian,6,5,1,,Coder2,Coder4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,3,7.5
17,f11-21,post,n,y,7,sun,infrared,4,3,7,5,8,8,7,3,7,5,7,5,3,7,m,y,y,NA,n,none,5,christian,6,1,0,,Coder3,Coder1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2,8
18,f11-22,post,s,n,4,visible,infrared,4,7,7,7,7,7,4,4,7,7,7,4,6,7,m,y,y,NA,y,decline,5,christian,NA,NA,,,Coder2,Coder4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2.5,5.5
19,f11-22,pre,s,n,NA,NA,NA,3,7,6,7,7,7,4,4,6,7,7,3,6,7,m,y,y,NA,y,decline,5,christian,NA,NA,,,Coder3,Coder1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,f11-23,post,s,n,5,energy,,5,3,8,8,8,8,8,6,8,8,8,3,3,7,f,y,y,NA,y,democrat,5,christian,NA,NA,,,Coder3,Coder1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.75
